"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicyAndroidEnterpriseDeviceOwner-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicyAndroidEnterpriseDeviceOwner","microsoft.intune.wifiConfigurationPolicyAndroidEnterpriseDeviceOwner","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicyandroidenterprisedeviceowner-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicyandroidenterprisedeviceowner","microsoft.intune.wificonfigurationpolicyandroidenterprisedeviceowner","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicyAndroidEnterpriseWorkProfile-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicyAndroidEnterpriseWorkProfile","microsoft.intune.wifiConfigurationPolicyAndroidEnterpriseWorkProfile","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicyandroidenterpriseworkprofile-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicyandroidenterpriseworkprofile","microsoft.intune.wificonfigurationpolicyandroidenterpriseworkprofile","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicyAndroidForWork-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicyAndroidForWork","microsoft.intune.wifiConfigurationPolicyAndroidForWork","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicyandroidforwork-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicyandroidforwork","microsoft.intune.wificonfigurationpolicyandroidforwork","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicyAndroidOpenSourceProject-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicyAndroidOpenSourceProject","microsoft.intune.wifiConfigurationPolicyAndroidOpenSourceProject","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicyandroidopensourceproject-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicyandroidopensourceproject","microsoft.intune.wificonfigurationpolicyandroidopensourceproject","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicyiOS-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicyiOS","microsoft.intune.wifiConfigurationPolicyiOS","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicyios-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicyios","microsoft.intune.wificonfigurationpolicyios","2026-02-06T10:47:33Z"
